SEXE;AGE;ANNEE;POP
M;104;2018;0
M;105;2018;0
M;106;2018;0
M;107;2018;0
M;108;2018;0
F;0;2018;375122
F;1;2018;371888
F;2;2018;377436
F;3;2018;389411
F;4;2018;390618
F;5;2018;393519
F;6;2018;406036
F;7;2018;414689
F;8;2018;412879
F;9;2018;415638
F;10;2018;413274
F;11;2018;419613
F;12;2018;411075
F;13;2018;409140
F;14;2018;406797
F;15;2018;409719
F;16;2018;417492
F;17;2018;425384
F;18;2018;402708
F;19;2018;397470
F;20;2018;383332
F;21;2018;381523
F;22;2018;373972
F;23;2018;360496
F;24;2018;357987
F;25;2018;376650
F;26;2018;385809
F;27;2018;396548
F;28;2018;400454
F;29;2018;407727
F;30;2018;408466
F;31;2018;418239
F;32;2018;417084
F;33;2018;418499
F;34;2018;411941
F;35;2018;436889
F;36;2018;442207
F;37;2018;446634
F;38;2018;423562
F;39;2018;414381
F;40;2018;415603
F;41;2018;405477
F;42;2018;416515
F;43;2018;436876
F;44;2018;462282
F;45;2018;471818
F;46;2018;468557
F;47;2018;459011
F;48;2018;453572
F;49;2018;452774
F;50;2018;448230
F;51;2018;459122
F;52;2018;459491
F;53;2018;466947
F;54;2018;461628
F;55;2018;445915
F;56;2018;446828
F;57;2018;444454
F;58;2018;442842
F;59;2018;432642
F;60;2018;431686
F;61;2018;427858
F;62;2018;423577
F;63;2018;422095
F;64;2018;413199
F;65;2018;419946
F;66;2018;408171
F;67;2018;422639
F;68;2018;415292
F;69;2018;410917
F;70;2018;401494
F;71;2018;381227
F;72;2018;287539
F;73;2018;280777
F;74;2018;271404
F;75;2018;250827
F;76;2018;223972
F;77;2018;233482
F;78;2018;243134
F;79;2018;238321
F;80;2018;232192
F;81;2018;229365
F;82;2018;221802
F;83;2018;219481
F;84;2018;204523
F;85;2018;203124
F;86;2018;187318
F;87;2018;176744
F;88;2018;153823
F;89;2018;137920
F;90;2018;121448
F;91;2018;106362
F;92;2018;91540
F;93;2018;74723
F;94;2018;61017
F;95;2018;49066
F;96;2018;37606
F;97;2018;28329
F;98;2018;12268
F;99;2018;23028
F;100;2018;0
F;101;2018;0
F;102;2018;0
F;103;2018;0
F;104;2018;0
F;105;2018;0
F;106;2018;0
F;107;2018;0
F;108;2018;0
M;0;2019;392745
M;1;2019;389443
M;2;2019;392899
M;3;2019;399367
M;4;2019;412436
M;5;2019;413995
M;6;2019;417022
M;7;2019;426182
M;8;2019;436962
M;9;2019;435883
M;10;2019;438121
M;11;2019;434943
M;12;2019;441807
M;13;2019;432512
M;14;2019;430150
M;15;2019;429204
M;16;2019;433215
M;17;2019;438324
M;18;2019;444126
M;19;2019;419549
M;20;2019;407267
M;21;2019;390949
M;22;2019;384367
M;23;2019;371475
M;24;2019;356518
M;25;2019;353077
M;26;2019;373894
M;27;2019;379436
M;28;2019;389810
M;29;2019;389815
M;30;2019;395501
M;31;2019;398181
M;32;2019;404116
M;33;2019;404854
M;34;2019;401712
M;35;2019;398704
M;36;2019;424118
M;37;2019;427219
M;38;2019;435064
M;39;2019;411513
M;40;2019;404826
M;41;2019;409909
M;42;2019;398732
M;43;2019;409401
M;44;2019;433386
M;45;2019;454894
M;46;2019;466683
M;47;2019;462592
M;48;2019;453101
M;49;2019;444323
M;50;2019;439176
M;51;2019;435646
M;52;2019;445274
M;53;2019;446217
M;54;2019;448558
M;55;2019;443227
M;56;2019;426797
M;57;2019;424220
M;58;2019;421095
M;59;2019;413949
M;60;2019;402957
M;61;2019;397875
M;62;2019;390867
M;63;2019;381908
M;64;2019;380988
M;65;2019;368143
M;66;2019;371766
M;67;2019;360166
M;68;2019;372350
M;69;2019;360592
M;70;2019;358533
M;71;2019;347544
M;72;2019;326070
M;73;2019;243075
M;74;2019;233313
M;75;2019;223371
M;76;2019;204607
M;77;2019;177481
M;78;2019;179457
M;79;2019;180818
M;80;2019;171744
M;81;2019;160672
M;82;2019;152964
M;83;2019;139904
M;84;2019;131844
M;85;2019;116212
M;86;2019;109395
M;87;2019;95327
M;88;2019;83587
M;89;2019;67458
M;90;2019;56538
